Fornecedor,Produto / Serviço,Email,Contato telefônico,Cidade/UF,Fornecedor Local,Link,Categoria ,Status atual,Filial
BRASOFTWARE,ADOBE/ CREATIVE CLOUD,linaldo.lima@brasoftware.com.br,Ana Carla (71) 3480-8110 / Linaldo (81) 99739-2728,,Sim,SITE,Normal,Habilitado,Recife
FILIPEFLOP,COMPONENTES ELETRÔNICOS,danilo.oliveira@filipeflop.com,(48) 3307-3495,,,SITE,Normal,Habilitado,Recife
USINA INFO,COMPONENTES ELETRÔNICOS,,(55) 3313-2778,,,SITE,Normal,Habilitado,Recife
ESD ANTIESTÁTICOS,COMPONENTES ELETRÔNICOS,vendas@antiestaticos.com.br,(11) 4996-9800,,,SITE,Normal,Habilitado,Recife
LAÇOS CORPORATIVOS,FLORES,atendimento@lacosparasempre.com.br,Televendas 24hs (11)4097-9400,,,SITE,Normal,Habilitado,Recife
PAPELARIA MARCO ZERO,MATERIAL DE ESCRITÓRIO,papelariamarcozero@yahoo.com.br ,Yuri (81) 98889-5325,Recife/PE,Sim,,Normal,Habilitado,Recife
LIVRARIA E PAPELARIA PRINCESA,MATERIAL DE ESCRITÓRIO,,Cristiane (81) 3224-4014 / (81) 3224-3328,,, ,Normal,Habilitado,Recife
PAPER HOME,MATERIAL DE ESCRITÓRIO,,Denise (11) 99495-4593,,,SITE,Normal,Habilitado,Recife
PAPELARIA PONTO CERTO,MATERIAL DE ESCRITÓRIO,,Antonio (81) 98808-1202,,,,Normal,Habilitado,Recife
KALUNGA ,MATERIAL DE ESCRITÓRIO E INFORMÁTICA,kellytelevendas@kalunga.com.br,(81) 3099-1245,,,SITE,Normal,Habilitado,Recife
NAGEM,MATERIAL DE ESCRITÓRIO E INFORMÁTICA,,Elaine (81) 2121-2097,,Sim,SITE,Normal,Habilitado,Recife
3DFILA,IMPRESSORA 3D E FILAMENTOS,3dfila@3dfila.com.br,Jonatas (31) 3417-6464,,,SITE,Normal,Habilitado,Recife
SETHI 3D,IMPRESSORA 3D E FILAMENTOS,priscila@sethi.com.br,(19) 98388-0339,,,SITE,Normal,Habilitado,Recife
KABUM,MATERIAL DE INFORMÁTICA,,(19) 2114-4444,,,SITE,Normal,Habilitado,Recife
ID INFORMÁTICA,MATERIAL DE INFORMÁTICA,contato@idrecife.com.br,Alda (81) 3031-1008 / 98888-6887,,,,Normal,Habilitado,Recife
NETCOON,MATERIAL DE INFORMÁTICA,,(11) 98280-5050,,,,Normal,Habilitado,Recife
FRANCA VIRTUAL,MATERIAL DE INFORMÁTICA,vendas@francavirtual.com.br,(16) 99996-5506,,,,Normal,Habilitado,Recife
CIRILO CABOS,MATERIAL DE INFORMÁTICA,,(11) 3224-1020,,,,Normal,Habilitado,Recife
ZIP AUTOMAÇÃO,MATERIAL DE INFORMÁTICA,,(11) 94532-4152,,,,Normal,Habilitado,Recife
LIVRARIA CULTURA,LIVROS E PERIÓDICOS,,Arthur (81) 3256-7500 / 3256-7518 / (81) 99440-0929,,Sim,SITE,Normal,Habilitado,Recife
LIVRARIA MARTINS FONTES,LIVROS E PERIÓDICOS,,(11) 2167-9900,,,SITE,Normal,Habilitado,Recife
CASA DO CÓDIGO,LIVROS E PERIÓDICOS,,Jonatas Silva (11) 5571-2751,,,SITE,Normal,Habilitado,Recife
THRIFTBOOKS,LIVROS E PERIÓDICOS,,,,,SITE,Normal,Habilitado,Recife
LIVRARIA DA TRAVESSA,LIVROS E PERIÓDICOS,,(21) 2508.6872,,,SITE,Normal,Habilitado,Recife
LIVRARIA SARAIVA PATTEO OLINDA,LIVROS E PERIÓDICOS,,Rosevanda (81) 985538232 / (11) 4637-9619),,,SITE,Normal,Habilitado,Recife
EDITORA MERIDIONAL,LIVROS E PERIÓDICOS,,Claúdia Pinheiro (51) 3110-9801,,,SITE,Normal,Habilitado,Recife
ERGOMAIS,MATERIAL ERGONÔMICO,,Aline (12) 3955-4119 / 99167-8189,,,,,Habilitado,Recife
CURSOR MIRAI,EQUIPAMENTOS DE INFORMÁTICA,,Cícera (11) 3879-4354 / 97337-2799 / 98842-9864,,, ,Normal,Habilitado,Recife
MUMA,MÓVEIS E DECORAÇÕES,,Laíse Pereira (81) 3266-0105 / (81)3104-3415,,,SITE,,Habilitado,Recife
CURSOR MIRAI,EQUIPAMENTOS DE INFORMÁTICA,,Cícera (11) 3879-4354 / 97337-2799 / 98842-9864,,,,Normal,Habilitado,Recife
ZX CONTATO,MATERIAL DE ESCRITÓRIO,,(11) 96689-5569,,,,Normal,Habilitado,Recife
VIVO,TELEFONIA,,Renato,,,,Normal,Habilitado,Recife
JAMEF,TRANSPORTADORA,,Giane (81) 2128-9321 / 2128-9300,,,,Normal,Habilitado,Recife
REC LOG,TRANSPORTADORA,,João (81) 9621-0129,,,,Normal,Habilitado,Recife
FEDEX INTERNACIONAL,TRANSPORTADORA,,(81) 3003-3339,,,,Normal,Habilitado,Recife
FEDEX NACIONAL,TRANSPORTADORA,,(11) 4002-5050,,,,Normal,Habilitado,Recife
DHL (ONEWAY EXPRESS),TRANSPORTADORA,fatima.mendes@owexpress.com,(81) 9987-1465,,,,Normal,Habilitado,Recife
MOVPLAN,GABINETE DE RECARGA,,Daiane (16) 3976-3239,,,,Normal,Habilitado,Recife
LEXTRON,GABINETE DE RECARGA,vendas1@lextron.com.br,(14) 3262-3044,,,,Normal,Habilitado,Recife
MATRON,MATERIAL DE INFORMÁTICA,,Jefferson (11)3224-8780,,,SITE,Normal,Habilitado,Recife
BSINFO,MATERIAL DE INFORMÁTICA,,(51) 3191-8570,,,SITE,Normal,Habilitado,Recife
BRINGIT,MATERIAL DE INFORMÁTICA,,0800 052 9292,,,SITE,Normal,Habilitado,Recife
LOGNET,MATERIAL DE INFORMÁTICA,,(81) 3446-2148,,,SITE,Normal,Habilitado,Recife
NEQ TI,LOCAÇÃO DE EQUIPAMENTOS,,Danilo Maielo (11) 95242-1300,,,,,Habilitado,Recife
